word,explanation
Global Handwashing Day,
implications,"牽連；涉及；捲入[U][（+in）]
The driver's implication in the crime was never proved. 司機與那起案件有牽連一事從未得到證實。
暗示
by implication 暗指地
the implication is that ... 含意是…
意涵,暗示,暗指
PyDict
含蓄地; 暗示地
He seemed by implication to acknowledge that fact. 他似乎含蓄地承認了那事實。
含蓄地；暗示地
He seemed by implication to acknowledge that fact. 他似乎含蓄地承認了那事實。
含蓄地；暗示地
He seemed by implication to acknowledge that fact. 他似乎含蓄地承認了那事實。
蘊涵式
PyDict"
assumption,"KK[əˋsʌmpʃən]
DJ[əˋsʌmpʃən]
名詞複數：assumptions
n.
名詞
假定，設想[U][C][+（that）]
The facts proved her assumption wrong. 事實證明她的設想是錯的。
擔任；承擔[U][C]
The new governor's assumption of office takes place next Tuesday. 新任州長於下星期二就職。
奪取；篡奪[U][C][（+of）]
僭越；自大[U]
His air of assumption made him unpopular. 他傲慢的樣子使他不受歡迎。
假裝[U][C]
with an assumption of indifference 裝著滿不在乎的樣子
「n. 假定；假裝」的反義字
assumption的名詞複數
重排假設
自明的假定
重排假設
自明的假定
以為…,假定…
PyDict
裝出…的樣子
PyDict
IPA[əˈsʌmpʃn]
假定
on the assumption that ... 根據…這一假定
to make an assumption 作出假定
IPA[əˈsʌmpʃn]
聖母升天; 聖母升天節"
enthusiastic,"KK[ɪn͵θjuzɪˋæstɪk]
DJ[in͵θju:ziˋæstik]
比較級：more enthusiastic   最高級：most enthusiastic
adj.
形容詞
熱情的；熱烈的；熱心的[（+about/over/at）]
David is very enthusiastic about the plan. 大衛對該項計畫十分熱心。
They are enthusiastic admirers of that movie star. 他們是那位電影明星的狂熱崇拜者。
a. 熱心的；感興趣的
enthusiastic的形容詞比較級
enthusiastic的形容詞最高級
enthusiastic的形容詞最高級
enthusiastic的形容詞比較級
IPA[ɪnˌθjuːzɪˈæstɪk]
熱情的
to be enthusiastic about sth./sb.  對某人／某事物很感興趣
an enthusiastic supporter 熱心的支持者
熱情的,熱心的,熱烈的
PyDict"
navigate,"KK[ˋnævə͵get]
DJ[ˋnævi͵geit]
過去式：navigated   過去分詞：navigated   現在分詞：navigating
vt.
及物動詞
航行於；飛行於
The large ship could not navigate the river. 那艘大輪船不能在河裡航行。
駕駛；操縱；導航；引導
He navigated the ship to a safe port. 他將船駛進一個安全的港口。
使（法案）通過[（+through）]
vi.
不及物動詞
航行，航空
駕駛船舶（或飛機等）；導航
He has to learn to navigate by electronic instruments. 他得學會用電子儀器導航。
vt. 航行於；導航
navigate的動詞過去式、過去分詞
navigate的動詞現在分詞、動名詞
返航
PyDict
上臺階
PyDict
向…航行
PyDict
使議案在國會中得以通過
PyDict
IPA[ˈnævɪgeɪt]
導航
to navigate by the stars 根據星辰確定航向
為…領航
航行航行於,駕駛,操縱,使通過
PyDict"
micro-,"pref.
字首
表示小，微
表示縮微的
表示擴大的
= microcomputer
microcomputer
小,微
PyDict
微指令
PyDict
趨勢科技（臺灣知名軟體公司）
小型巴士
（用作單）微電子學
微小的
微的
PyDict"
scapegoat,"KK[ˋskep͵got]
DJ[ˋskeipgəut]
n.
名詞
替人頂罪者；替罪羊
vt.
及物動詞
使成為……的替罪羊
IPA[ˈskeɪpgəʊt]
替罪羊
to make a scapegoat of sb. 使某人成為替罪羊
to look for a scapegoat 尋找替罪羊
替罪的羔羊,替人頂罪者,替身
PyDict"
lockdown,"n.
名詞
（尤指監獄暴動時的）嚴防禁閉；一級封鎖
The warden ordered a complete lockdown of the prison after its inmates staged a riot. 在囚犯發生暴動之後典獄長就下令將監獄封鎖。
IPA[ˈlɒkdaʊn]
把犯人關入牢房"
distancing,
vulnerable,"KK[ˋvʌlnərəb!]
DJ[ˋvʌlnərəbl]
a. 易受傷的；有弱點的
易受…,易於…
PyDict
弱勢社群
資料僅供參考
IPA[ˈvʌlnərəbl]
脆弱的; 地位不穩固的; 易受影響的; 易受傷害的; 易受攻擊的
to be vulnerable to pressure 易受壓力影響"
