word,explanation
bias,"KK[ˋbaɪəs]
DJ[ˋbaiəs]
名詞複數：biases
動詞變化：biased /  biassed / biased /  biassed / biasing /  biassing
n.[C,U]
可數/不可數名詞
偏見，成見；偏心
Some people have a bias against foreigners. 有些人對外國人有偏見。
傾向，趨勢；偏愛
The pianist has a bias in favour of Chopin. 這位鋼琴家偏愛蕭邦。
斜線，斜紋
【電】偏壓
adj.
形容詞
斜的；斜紋的
adv.
副詞
偏斜地，對角地
vt.
及物動詞
使存偏見；使有偏心[H]
The newspapers biased their readers against the new government. 報紙使得讀者們對新政府產生偏見。
He was biased against the plan from the beginning. 他從一開始就對這個計畫有偏見。
加偏壓於
a. 斜的；斜紋的
n. 偏見，成見
存有偏見的；偏見的
bias的名詞複數
bias的動詞過去式、過去分詞
有偏見的
this report is biased 這篇報道有傾向性
he's politically biased 他有政治偏見
偏頗
PyDict
斜裁滾邊料
斜裙（指從腰部到下擺斜向展開的裙子）
IPA[ˈbaɪəs]
傾向
a female bias 對女性的偏愛
a left-wing bias 左翼傾向
使有偏見
to bias sb. against/in favour of ... 使某人對…產生偏見／使某人偏向…
偏見,斜線斜(的)使有偏見
PyDict"
gory,"KK[ˋgorɪ]
DJ[ˋgɔ:ri]
比較級：gorier   最高級：goriest
a. 血的；殘酷的
gory的形容詞最高級
gory的形容詞比較級
IPA[ˈgɔːri]
沾滿血污的
a gory monster 血淋淋的妖怪
the gory details 令人不快的詳情
血淋淋的,滿是血的,血污的
PyDict"
reinvest,"KK[͵riɪnˋvɛst]
DJ[͵ri:inˋvest]
過去式：reinvested   過去分詞：reinvested   現在分詞：reinvesting
vt.
及物動詞
再投（資）；將……再投資
再授給；再委任
vi.
不及物動詞
再投資
reinvest的動詞現在分詞、動名詞
reinvest的動詞過去式、過去分詞
IPA[ˌriːɪnˈvest]
把…再投資
再投資於,再授給
PyDict"
muddled,"KK[ˋmʌd!d]
DJ[ˋmʌdld]
adj.
形容詞
混亂的
糊塗的
頭腦昏昏然的
muddle的動詞過去式、過去分詞
將……混在一起[（+together/up）]
Don't muddle things together. 不要把東西混在一起。
胡亂思考；糊裡糊塗地行事
muddle through a task 胡亂做完一件事
糊塗；混亂狀態[S]
When mother came home, she found the house in a muddle. 母親回到家裡，發現屋子裡一片混亂。
混亂
to be in a muddle 亂七八糟
the string was in a muddle 繩子亂作一團
muddle up
混淆
Later they may muddle up your names with those of your cousins. 以後他們可能會把你的名字跟你堂兄弟們的名字相混淆。
混日子; 雜亂無章地幹下去
He's still muddling on. 他仍然是在糊裡糊塗地混日子。
胡亂應付過去; 混過(困難時期等)
There were problems, but we muddled through somehow. 困難是有的, 但我們好歹混過來了。
【貶】混日子
We muddle along from day to day. 我們一天天地混日子。
胡亂應付過去；混過（困難時期等）
There were problems, but we muddled through somehow. 困難是有的，但我們好歹混過來了。
混淆
Later they may muddle up your names with those of your cousins. 以後他們可能會把你的名字跟你堂兄弟們的名字相混淆。
IPA[ˈmʌdld]
糊塗的"
commitments,"託付，交託；委任[U]
承諾
a commitment to sth./to doing sth. or to do sth.  對某事物／做某事的承諾
to take on a commitment to sb.  對某人作出承諾
資本承諾；資本承擔
The minimum capital commitment to join the Bank is 100 million U.S. dollars. 參加投資銀行的最低資本承諾是一億美金。
員工承諾
員工承諾
資本承諾；資本承擔
The minimum capital commitment to join the Bank is 100 million U.S. dollars. 參加投資銀行的最低資本承諾是一億美金。"
donate,"KK[ˋdonet]
DJ[ˋdəuneit]
過去式：donated   過去分詞：donated   現在分詞：donating
vt.
及物動詞
捐獻，捐贈[（+to）]
She donated her books to the library. 她把自己的書捐贈給圖書館。
n.
名詞
捐獻，捐贈[（+to/towards）]
vt. 捐贈；給與
donate的動詞現在分詞、動名詞
donate的動詞過去式、過去分詞
贈送
PyDict
IPA[dəʊˈneɪt]
捐贈
to donate sth. to sb./sth. 捐贈某物給某人／某機構
捐贈
to donate to a charity 向慈善團體捐贈
捐贈
PyDict"
organizational,"KK[͵ɔrgənaɪˋzeʃənəl]
DJ[͵ɔ:gənaiˋzeiʃənəl]
【英】= organizational
生活打理達人
After consulting with a life organizational pro, he found a way to teach and write his dissertation at the same time. 在諮詢了一位生活打理達人之後，他找到了一邊教書，一邊寫論文的辦法。
生活打理達人
After consulting with a life organizational pro, he found a way to teach and write his dissertation at the same time. 在諮詢了一位生活打理達人之後，他找到了一邊教書，一邊寫論文的辦法。
組織維護手冊集
PyDict
組織維護手冊集
PyDict
IPA[ˌɔːgənaɪˈzeɪʃənl]
組織的
組織的
PyDict"
caffeine,"KK[ˋkæfiɪn]
DJ[ˋkæfi:n]
不含咖啡因的
無咖啡因的
PyDict
IPA[ˈkæfiːn]
咖啡因
咖啡因,茶精(興奮劑)
PyDict"
decent,"KK[ˋdisnt]
DJ[ˋdi:snt]
adj.
形容詞
正派的；合乎禮儀的
I only associate with good decent fellows. 我只和正派的好人交往。
體面的；像樣的；還不錯的
For a week he didn't have a decent meal. 他一個星期沒有吃一頓像樣的飯。
親切的；寬容的；樂於助人的
The new manager is pretty decent to us. 新上任的經理對我們相當和氣。
a. 體面的；合乎禮儀的
a. 像樣的；還不錯的
「a. 正派的；文雅的」的反義字
IPA[ˈdiːsnt]
正派的
有分寸的,得體的,大方的
PyDict"
simultaneously,"KK[saɪməlˋtenɪəslɪ]
DJ[saiməlˋteiniəsli]
IPA[ˌsɪmlˈteɪnɪəsli]
同時地
simultaneously with ... 與…同步地
同時地
PyDict"
reciprocating,"交換；報答；互給
reciprocate的動詞過去式、過去分詞
回報; 互給
her compliments/invitations were not reciprocated 她的問候／邀請沒有得到回應
she did not reciprocate his affection 她對他的愛慕無動於衷
回報
after all their invitations I think we should reciprocate 在他們邀請我們這麼多次後，我想我們應該回請他們
互換,交換,報答,使往復運動往復運動,互換,酬答
PyDict
往復式發動機
往復運動
PyDict
報答,酬謝
PyDict
互相關照
PyDict
前後轉動
PyDict"
amongst,"KK[əˋmʌŋst]
DJ[əˋmʌŋst]"
escalation,"KK[͵ɛskəˋleʃən]
DJ[͵eskəˋleiʃən]
名詞複數：escalations
n.
名詞
逐步上升；逐步擴大[U][C]
a steady escalation of violence 暴力的逐步上升
escalation的名詞複數
關稅級距（初級產品或原料產品與加工品間關稅之差距即為「關稅級距」，以花生而言，我國進口花生關稅 ...
戰事升級階梯
（戰事）逐步降級
在戰事升級中佔優勢
（戰事）降級，減低戰爭的範圍或強度
在戰事升級中佔優勢
IPA[ˌeskəˈleɪʃn]
惡化; 加劇; 上漲; 增加
the recent escalation in food prices 最近食品價格的不斷上漲
擴大,增加
PyDict"
proximity,"KK[prɑkˋsɪmətɪ]
DJ[prɔkˋsimiti]
n.
名詞
接近，鄰近；親近[U][（+to/of）]
Proximity to a good shopping center was very important. 鄰近一個好的購物中心非常重要。
Your physical proximity makes me feel nervous. 妳身體上的接近讓我感到緊張。
感應卡
感應引信
在...附近
The monument was erected in the proximity of the town hall. 紀念碑矗立在市政廳旁。
在……附近
The monument was erected in the proximity of the town hall. 紀念碑矗立在市政廳旁。
在……附近
The monument was erected in the proximity of the town hall. 紀念碑矗立在市政廳旁。
在…附近,與…毗鄰
PyDict
緊靠,緊挨著…
PyDict
IPA[prɒkˈsɪməti]
接近
the airport is in the immediate proximity of the town 機場緊挨著城鎮
鄰近,臨近,接近
PyDict"
collaboration,"KK[kə͵læbəˋreʃən]
DJ[kə͵læbəˋreiʃən]
與…合作
PyDict
國際協作
資料僅供參考
IPA[kəˌlæbəˈreɪʃn]
合作"
tackling,"KK[ˋtæklɪŋ]
DJ[ˋtækliŋ]
IPA[ˈtæklɪŋ]
阻截; 擒抱
扭住,抱住,卷起
PyDict"
impolite,"KK[͵ɪmpəˋlaɪt]
DJ[͵impəˋlait]
a. 無禮的；粗魯的
「a. 無禮的」的反義字
IPA[ˌɪmpəˈlaɪt]
不禮貌的
to be impolite to sb.  對某人不禮貌
to be impolite of sb. to do sth. 某人做某事是不禮貌的
無禮的,粗魯的
PyDict"
ritualized,"KK[ˋrɪtʃʊəl͵aɪzd]
DJ[ˋritjuəlaizd]
（使）儀式化；（使）奉行儀式
【英】= ritualize
使儀式化,奉行儀式主義
PyDict"
tit,"KK[tɪt]
DJ[tit]
名詞複數：tits
n.[C]
可數名詞
奶頭，乳頭
【粗】乳房
【廢】打擊
= title
tit的名詞複數
【粗】【俚】色情雜誌；男人的雜誌
藍山雀（頭、尾、翼藍色，胸黃色）
【粗】【俚】色情雜誌；男人的雜誌
KK[tɪt]
DJ[tit]
【古】小馬，劣馬[C]
KK[tɪt]
DJ[tit]
【鳥】山雀[C]
IPA[tɪt]
山雀
山雀,輕打,女人,奶頭
PyDict"
negotiations,"談判，協商[P1][（+with）]
Peace negotiations are still going on. 和談仍在進行。
談判
to enter into negotiation(s) with sb. 開始和某人談判
by negotiation 通過談判
談判,磋商,交涉
PyDict
開始與某人進行談判
He opened negotiations with that big company. 他開始與那家大公司進行談判。
開始與某人進行談判
He opened negotiations with that big company. 他開始與那家大公司進行談判。
開始與某人進行談判
He entered into negotiations with that big company. 他開始與那家大公司進行談判。
開始與某人進行談判
He entered into negotiations with that big company. 他開始與那家大公司進行談判。
開始與某人進行談判
He entered into negotiations with that big company. 他開始與那家大公司進行談判。
首席談判官；談判總監（CNO）"
backlog,"KK[ˋbæk͵lɔg]
DJ[ˋbæklɔ:g]
n.
名詞
存貨
儲備金；備用品
積蓄
積壓
積壓
PyDict
積壓的事務,儲備,積壓起來
PyDict"
tactics,"KK[ˋtæktɪks]
DJ[ˋtæktiks]
n.
名詞
戰術，用兵學[J]
The generals discussed their tactics. 將軍們討論他們的戰術。
策略，手段[K]
Different circumstances call for different tactics. 不同的情勢需要不同的策略。
n. 戰略；戰術
恐嚇戰術
詢問囚犯的手法；審訊手段
The interrogation tactics used by the rebels made the strongest man crumble. 叛軍所使用的詢問囚犯的手法讓最堅強的人潰不成軍。
抹黑戰術
Smear tactics is used in almost every election campaign. 幾乎在所有的選舉中，都可以看到抹黑戰術的使用。
抹黑戰術
Smear tactics is used in almost every election campaign. 幾乎在所有的選舉中，都可以看到抹黑戰術的使用。
恐嚇戰術
詢問囚犯的手法；審訊手段
The interrogation tactics used by the rebels made the strongest man crumble. 叛軍所使用的詢問囚犯的手法讓最堅強的人潰不成軍。
造謠中傷策略
拖延戰術
用兵學,戰術,兵法
PyDict"
neutral,"KK[ˋnjutrəl]
DJ[ˋnju:trəl]
比較級：more neutral   最高級：most neutral
名詞複數：neutrals
adj.
形容詞
中立的；中立國的；中立地帶的
He remained neutral during the debate. 他在辯論中保持中立。
不確定的，模糊的
I waited, but her eyes were neutral. 我等著她的反應，但她的眼睛沒有露出情感有什麼變化。
非彩色的，略帶灰色的
White is a neutral color. 白色是中性色。
The water was of a pale, neutral color. 這水是一片淡灰色。
【化】中性的
It is a neutral salt. 這是一種中性鹽。
【物】不帶電的
Cut back the covers of the neutral and live wires about one inch. 將帶電和不帶電的電線頭上的包皮割去約一英寸。
【生】無性的
【機】空檔的
n.
名詞
中立者，中立國[C]
非彩色[U][C]
【機】空檔[U]
When you start the car, make sure it is in neutral. 確定在空檔才發動車子。
He pushed the handle into neutral. 他將手柄扳到空擋。
a. 中立的；公平的
neutral的名詞複數
無色的
PyDict
neutral的形容詞比較級
中立國
【化】中性酒精（標準強度在190以上者）
neutral的形容詞最高級
碳中和
IPA[ˈnjuːtrəl]
中立的; 不偏不倚的
neutral territory 中立國的國土
to remain neutral 保持中立
空擋
to be in neutral 掛空擋
中立者,中立國,非彩色,齒輪的空檔中立的,中性的,無色的
PyDict"
brushless,"IPA[ˈbrʌʃləs]
adj.
形容詞
lacking a brush
a brushless motor
IPA[ˈbrəSHləs]
lacking a brush:
a brushless motor
Oxford American Dictionary"
compunction,"KK[kəmˋpʌŋkʃən]
DJ[kəmˋpʌŋkʃən]
滿不在乎地,若無其事地,無動於衷地
PyDict
IPA[kəmˈpʌŋkʃn]
內疚
to have no compunction in or about doing sth.  對做某事沒有內疚
without the slightest compunction 絲毫不內疚地"
lbs.,"me.磅
PyDict
= pounds per hour 磅/小時
= pounds per minute 磅/分
= pounds per second 磅/秒
= pounds per brake horsepower hour 磅/製動馬力小時"
interpersonal,"KK[͵ɪntɚˋpɝsən!]
DJ[͵intəˋpə:sənl]
人際溝通智慧；人際智能（指處理人際關係的能力，此能力高者適合做一些需要對人的工作，例如政府新聞官）
人際溝通智慧；人際智能（指處理人際關係的能力，此能力高者適合做一些需要對人的工作，例如政府新聞官）
IPA[ˌɪntəˈpɜːsənl]
人際的
interpersonal skills/dynamics 人際交往技巧／互動
人與人之間的,關於人與人之間關系的
PyDict"
irrational,"KK[ɪˋræʃən!]
DJ[iˋræʃənəl]
adj.
形容詞
無理性的
Animals are irrational creatures. 野獸是沒有理性的動物。
不合理的；不明事理的；荒謬的
He had an irrational belief that everybody was his enemy. 他有個荒謬的信念，以為人人都是他的仇敵。
【數】無理的
「a. 不合理的；無理性的」的反義字
【數】無理數
【數】無理數
IPA[ɪˈræʃənl]
不合邏輯的; 不合理的
it is irrational to do sth.  做某事沒有道理
to be/become quite irrational about sth.  在某事上非常不可理喻／變得非常不可理喻
無理數無理性的,不合理的
PyDict"
donated,"捐獻，捐贈[（+to）]
She donated her books to the library. 她把自己的書捐贈給圖書館。
捐獻，捐贈[（+to/towards）]
donate的動詞現在分詞、動名詞
捐贈
to donate sth. to sb./sth. 捐贈某物給某人／某機構
捐贈
to donate to a charity 向慈善團體捐贈
捐贈
PyDict
贈送
PyDict"
specifics,"KK[spɪˋsɪfɪks]
DJ[spiˋsifiks]
特殊的，特定的[B]
Education should not be restricted to any one specific age group. 教育不應限制在任何特定的年齡組上。
特性
詳細的; 明確的; 具體的
to be specific on or about sth. 對某事說得很明確
詳情
to get down to specifics 進入細節
特效藥,特性特殊的,明確的,具有特效的,特定的,具體的
PyDict
specific的形容詞比較級
specific的形容詞最高級
（男、女的）性別特別明確的
【物】比重
（病症）併發的
specific的形容詞比較級"
tat,"KK[tæt]
DJ[tæt]
過去式：tatted   過去分詞：tatted   現在分詞：tatting
梭編；梭織
tat的動詞過去式、過去分詞
梭織花邊
梭編,梭織,以梭編法編的花邊
PyDict
咚咚（的聲音）；敲擊聲
= Thematic Apperception Test 主題知覺測試
用梭織法編織
梭織
IPA[tæt]
劣質廉價品
梭編,梭織粗麻布,輕擊
PyDict"
chore,"KK[tʃor]
DJ[tʃɔ:]
名詞複數：chores
n.[C]
可數名詞
家庭雜務；農莊雜務[P]
Does your husband do any chores after work? 你先生下班後做家務事嗎？
日常零星活兒，例行工作
He freed his assistant from some of her chores. 他免去了助手某些日常事務。
討厭的工作；困難的工作
Peeling bags of potatoes is really a chore. 給一袋袋馬鈴薯削皮真是件苦差事。
n. 打雜；討厭的工作
chore的名詞複數
IPA[tʃɔː(r)]
例行工作; 家務活
to do the chores 做家務
零工,家務
PyDict"
gonna,"KK[ˋgɔnə]
DJ[ˋgɔ:nə]
IPA[ˈgɒnə]
= going to
aux.快要
PyDict"
linguistic,"KK[lɪŋˋgwɪstɪk]
DJ[liŋˋgwistik]
語言形態
語言智能
語言智能
語言形態
非語言的
基礎語,母語
PyDict
語言障礙,語言隔閡
PyDict
IPA[ˈlɪŋgwɪstɪk]
語言的
linguistic ability 語言能力
linguistic borrowing 外來詞
語言的,語言學的
PyDict"
bumper,"KK[ˋbʌmpɚ]
DJ[ˋbʌmpə]
名詞複數：bumpers
n.[C]
可數名詞
滿杯
a bumper of mead 滿杯蜂蜜酒
【口】特大的東西
adj.
形容詞
特大的；豐盛的
a bumper crop 豐收
bumper的名詞複數
汽車保險桿上的貼紙
（遊樂場的）碰碰車
汽車保險桿上的貼紙
（遊樂場的）碰碰車
保險槓小標語
KK[ˋbʌmpɚ]
DJ[ˋbʌmpə]
緩衝器；減震物；（汽車前後的）保險槓[C]
IPA[ˈbʌmpə(r)]
保險槓
豐收的; 特大的
a bumper crop 豐收
緩沖器,滿杯,豐收大勝利的
PyDict"
wary,"KK[ˋwɛrɪ]
DJ[ˋwɛəri]
比較級：warier   最高級：wariest
adj.
形容詞
小心翼翼的；警惕的
Tom did not hear the faint sound of the creature's wary advance. 湯姆沒有聽見這個動物小心翼翼前行時所發出的微弱響聲。
The doorman kept a wary eye on strangers. 門房密切注意陌生人
謹防的；惟恐的[F][（+of）]
Some children are wary of strangers. 有些小孩怕陌生人。
He is wary of telling secrets. 他提防洩露祕密。
a. 小心的；不信的
「a. 小心的；機警的」的反義字
wary的形容詞比較級
wary的形容詞最高級
對…小心
PyDict
IPA[ˈweəri]
警惕的
to be wary of sb./sth.  對某人／某事物警惕
to be wary of or about doing sth.  謹慎地做某事
小心的,當心的,留心的,謹慎的
PyDict"
boundaries,"邊界，分界線[（+between）]
The river is the boundary between the two countries. 這條河是兩國的分界線。
邊界
作為邊界的
a boundary marker/stone 界標／界石
邊界,界限,範圍
PyDict
正文邊框
PyDict
挑戰極限
As a mayor, you cannot keep on pushing the Central Government's boundaries. 作為一個市長，你不能一直挑戰中央政府的極限。
劃定…的界線
PyDict
邊緣科學
邊界洋流
(分)界線,範圍,邊界(復數)
PyDict"
comply,"KK[kəmˋplaɪ]
DJ[kəmˋplai]
過去式：complied   過去分詞：complied   現在分詞：complying
vi.
不及物動詞
（對要求、命令等）依從，順從，遵從[（+with）]
We comply with all fire safety rules. 我們遵守有關消防安全的全部條例。
vi. 應允；順從
「vi. 應允；順從；承諾」的反義字
comply的動詞過去式、過去分詞
遵守
遵守
IPA[kəmˈplaɪ]
服從
to comply with 遵從"
recruited,"徵募（新兵）；吸收（新成員）
Our club has recruited 30 new members this year. 今年我們俱樂部吸收了三十名新會員。
招募新兵；招收新成員
His job was to recruit for the army. 他的工作是為陸軍募兵。
新兵；新手
New recruits are trained at the boot camp. 新兵在新兵訓練營接受訓練。
recruit的名詞複數
新兵; 新警員
徵募
徵兵; 招募新警員; 招收新成員
新兵,新分子,新會員,補給品使恢復,補充,征募征募新兵,復原
PyDict
有學位的新僱員"
consistency,"KK[kənˋsɪstənsɪ]
DJ[kənˋsistənsi]
名詞複數：consistencies
n.
名詞
（液體等的）濃度；黏稠；堅硬；堅硬度[U][C]
oil of the wrong consistency 濃度不當的油
一貫；一致；符合；協調[U]
There is no consistency between the movie and the book. 這部電影與書中的情節完全不符。
Your behavior lacks consistency -- you say one thing and do another! 你的行為缺乏一致性，說的是一回事，做的卻是另一回事！
n. 稠度；黏度
n. 一致性
「n. 一致；無矛盾」的反義字
consistency的名詞複數
IPA[kənˈsɪstənsi]
統一性; 連貫性
she played with great consistency all season 她整個賽季表現相當穩定"
complying,
counterpart,"KK[ˋkaʊntɚ͵pɑrt]
DJ[ˋkauntəpɑ:t]
名詞複數：counterparts
n.[C]
可數名詞
極相像的人（或物）
The two cars are exact counterparts in make, model and color. 這兩輛汽車的式樣、型號和顏色完全一樣。
互為補充的人（或物）；對應的人（或物），配對物
The U.S. Congress is the counterpart of the British Parliament. 美國的國會相當於英國的議會。
（契約等的）副本，複本
counterpart的名詞複數"
version,"KK[ˋvɝʒən]
DJ[ˋvə:ʃən]
名詞複數：versions
n.[C]
可數名詞
譯文；譯本[（+of）]
The Chinese version of the English novel appeared in the early 1950s. 那部英文小說的中譯本於五十年代初期問世。
（某人或從某角度對事物的）一種描述，說法[（+of）]
There are conflicting versions of the girl's death. 女孩死因的說法相互矛盾。
（一事物的）變化形式，變體[（+of）]
There are two versions of this statue. 這一塑像有兩種樣式。
（文藝作品的）改編形式；改寫本；經改編的樂曲[（+of）]
Did you read the whole book or the abridged version? 你讀的是全書還是節略本？
（同一作品的不同）版本[（+of）]
n. 說明；翻譯；譯文
version的名詞複數
版本
PyDict
電腦硬體、軟體發行上市前的試用版
（流行歌曲等的）轉錄製品
新版本
《聖經》欽定本的修訂本（英美學者修訂，1881年出版《新約》，1885年出版《舊約》）
電腦軟體雛型版；α測試版
IPA[ˈvɜːʃn]
說法
版本,形式,型號,翻譯,譯文,譯本
PyDict"
reinvestment,"KK[͵riɪnˋvɛstmənt]
DJ[ˋri:inˋvestmənt]
IPA[ˌriːɪnˈvestmənt]
再投資
再投資
PyDict"
personalized,"使人格化；使個性化
為個人特製
to personalize a product/service 個別訂製產品／進行個性化服務
使成私人的
PyDict
使個人化,使人格化
PyDict
個性化定價（指同一商品的價格因人而異）
個性化定價（指同一商品的價格因人而異）"
